year,month,Product1,Product2
2004,1,20.02012778,0.642339797
2004,2,16.16686217,0.694684964
2004,3,13.65421551,0.724984225
2004,4,5.298760279,0.687440731
2004,5,5.801352838,0.752828801
2004,6,5.928357543,0.755191526
2004,7,6.12868527,0.74614133
2004,8,5.941512391,0.783803015
2004,9,15.56188815,0.782247932
2004,10,20.70007351,0.773385934
2004,11,26.07774815,0.802453223
2004,12,28.3672099,0.858840002
2005,1,28.03195895,0.839306815
2005,2,23.13788931,0.844801762
2005,3,18.42272053,0.455450621
2005,4,8.060989065,0.878516117
2005,5,8.049942898,0.884612979
2005,6,8.007400514,0.887135103
2005,7,8.779304484,0.918097115
2005,8,8.870650948,0.940691175
2005,9,23.07067849,0.95026275
2005,10,14.75158057,0.923893942
2005,11,3.745727184,0.968935378
2005,12,0.401702337,0.973517073
2006,1,40.95509916,0.930659379
2006,2,32.68766696,0.940776577
2006,3,26.26762575,0.951580409
2006,4,11.42550486,0.956860546
2006,5,11.77511034,1.010771133
2006,6,11.94423735,0.964569516
2006,7,11.88049522,0.998710868
2006,8,12.85458575,1.048323982
2006,9,31.7040243,1.003206746
2006,10,42.32024472,0.485770358
2006,11,54.75365567,1.042938583
2006,12,55.01891901,0.993113609
